eta1,beta1,r1,eta2,beta2,r2,chi_eff,beta_eff,lambda0,solver_success
1.7722475334854528,1.4091515065260352,0.1683050336970302,1.0,0.5,1.0,1.0048727963815236,0.5094010172661008,2.3779536732946887,1
2.6681614510130838,4.416714472572771,0.857782212808017,1.0,0.5,1.0,1.7624931117495102,6.789716758200433,4.1361011976502535,1
0.6232267486720346,4.588761222512783,0.19721962358832767,1.0,0.5,1.0,0.9963797186492362,0.5618656182943462,2.3937470507398166,1
3.8653149190361393,4.482603710248474,0.23434383994972505,1.0,0.5,1.0,1.054051378121406,0.6465787195059292,2.2223540693180523,1
1.9915844867006514,1.8907831280790126,0.37747916613935284,1.0,0.5,1.0,1.0707583086679988,0.6678596801819516,2.182133194270372,1
2.823150655019132,0.044970136856651854,0.43814256358590675,1.0,0.5,1.0,1.2131078325596185,0.4069698128190176,1.9233259498140352,1
4.4494597828022755,0.4370257642623665,0.4872678539664296,1.0,0.5,1.0,1.571421364210259,0.4807041380195033,1.4399950538100554,1
2.665524773032386,3.9128574515993257,0.8716476601107127,1.0,0.5,1.0,2.1882186796797187,3.2539635902048487,0.9996284332858323,1
3.6819339873599444,1.3686836045774813,0.6360906403758866,1.0,0.5,1.0,0.6914897250766444,18.087448964004178,8.048759125916472,1
2.063906612367073,3.840639180274547,0.640617133001989,1.0,0.5,1.0,0.9791602929976769,37.54790040810403,7.121108839194014,1
4.898894126122668,4.333548947973106,0.13688641171675686,1.0,0.5,1.0,1.0133086084486398,0.5235318151197192,2.351024851135148,1
1.8064567088943442,4.311955488445401,0.5806782672326123,1.0,0.5,1.0,1.200024408132661,1.9237065535797526,1.8025249585384995,1
2.049160813182909,0.2780128839447271,0.7102981359856785,1.0,0.5,1.0,1.4444393859375328,0.37590198550648607,1.6212837097093196,1
0.5068345448257465,0.4642176961956801,0.8948033278445121,1.0,0.5,1.0,0.6307173240439917,0.47105400300950795,3.8499773592989572,1
3.9920588475290986,4.341354314631238,0.4817266012693827,1.0,0.5,1.0,0.6665486763250429,-2.367132212444078,7.642502881923716,1
1.2598188819004623,2.669886605725828,0.44066550146124206,1.0,0.5,1.0,1.02816045212139,0.8626625491228942,2.2601069601271724,1
1.23363318472332,0.8293878560035728,0.3065201346606574,1.0,0.5,1.0,1.008586740618932,0.5190122486555104,2.365962346805074,1
4.743912064395959,4.934034709238107,0.6629331318884125,1.0,0.5,1.0,1.2313282789962625,37.64028316033008,4.888134217026395,1
3.7542083601692857,3.6624890362108395,0.5139164148116442,1.0,0.5,1.0,0.6742396097019174,-2.7803843498408556,7.822310315966106,1
1.298418387149154,4.388231034637847,0.8043122845996713,1.0,0.5,1.0,1.0978059319156903,12.2343367334515,6.187221512501189,1
3.692905487553119,4.667144035785432,0.883998528319539,1.0,0.5,1.0,2.420291576614544,6.252283794202368,3.186911815771729,1
2.7656410195945114,3.787847534792472,0.5932948187512408,1.0,0.5,1.0,1.480010808731625,1.887221847259699,1.4577070294091636,1
1.0170008069473595,1.5799424006181528,0.15418711802391805,1.0,0.5,1.0,1.0000824928583008,0.5083424657073379,2.392224284549027,1
4.49092030150052,0.11035199437459564,0.5298293627235243,1.0,0.5,1.0,1.7270802621386283,0.3578851743221889,1.3122800124489196,1
1.299254479208287,0.7349745468232832,0.23267558405187982,1.0,0.5,1.0,1.0048569323145649,0.5060862361666357,2.3786799458782855,1
4.446292905090054,2.472350627895291,0.37272039626731157,1.0,0.5,1.0,1.2708318599371884,0.8224652281462359,1.7758850323328226,1
4.996444216467827,2.729874478757994,0.34266490048430215,1.0,0.5,1.0,1.2500697113266759,0.8048451087679466,1.808436021372293,1
